Country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Angola,50,79,78,33,77,62,71,64,85,55,50,21,57,38,15,25,35,36,38,13,35,29,33,35,39,41,40
Benin,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bolivia,123,107,123,57,122,152,133,153,150,184,173,118,149,125,170,129,164,133,135,142,130,143,115,128,106,89,90
Brazil,"27,286","27,293","34,603","28,167","28,192","18,060","29,197","26,148","36,761","47,578","31,310","31,365","48,352","28,873","39,281","32,935","42,987","38,987","50,490","43,977","53,428","50,592","55,420","54,698","52,299","50,376","55,000"
Burundi,487,667,620,393,664,434,401,250,492,351,487,144,454,338,437,103,499,133,412,112,353,204,406,163,248,274,235
Cameroon,"1,682","1,726",260,683,406,660,"1,432",889,"1,114","1,370","1,113",686,801,900,727,870,818,795,725,902,527,669,371,404,483,391,480
Central African Republic,175,125,134,166,250,108,208,114,215,241,113,68,92,43,29,23,114,43,60,112,78,91,23,90,63,100,100
Colombia,"14,268","17,815","15,189","10,298","12,862","12,963","10,719","12,219","10,979","9,679","10,400","11,962","11,735","11,230","11,573","12,564","11,775","12,516","8,664","8,098","8,523","7,652","9,927","12,163","13,339","14,009","14,500"
"Congo, Dem. Rep. of","1,580","1,230","1,180",980,"1,298","1,098",795,811,738,477,363,423,338,451,360,336,378,416,422,346,305,357,334,347,335,323,335
"Congo, Rep. of",3,3,3,3,8,12,14,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
Costa Rica,"2,562","2,760","2,998","2,359","2,482","2,844","2,222","2,617","2,445","2,485","2,419","2,247","2,043","1,886","1,876","1,653","1,706","1,797","1,580","1,447","1,581","1,776","1,658","1,444","1,408","1,634","1,486"
Côte d'Ivoire,"2,940","4,129","2,246","2,293","3,006","2,532","4,859","4,164","1,992","6,320","4,846","3,595","3,145","2,689","2,268","1,691","2,177","2,317","2,397","1,795",982,"1,966","2,072","2,107","1,750","1,893","2,000"
Cuba,414,302,284,285,284,285,366,300,280,328,312,285,239,224,180,100,105,110,133,92,108,100,88,107,101,100,100
Dominican Republic,880,321,638,604,730,886,519,941,487,607,467,387,455,351,491,310,387,465,645,352,378,491,488,425,397,400,400
Ecuador,"1,504","2,124","1,185","2,069","2,376","1,888","1,993","1,191","1,206","1,198",854,793,582,641,780,935,"1,035",950,771,813,854,825,828,666,644,644,600
El Salvador,"2,465","2,198","3,001","2,378","2,293","2,585","2,534","2,175","2,055","2,598","1,704","1,694","1,361","1,380","1,197","1,319","1,234","1,505","1,450","1,075","1,873","1,164","1,240",506,669,552,623
Equatorial Guinea,4,3,2,0,3,2,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ethiopia,"2,909","2,925","1,825","2,967","2,763","3,165","3,407","3,057","2,928","3,784","3,115","4,044","4,094","4,394","5,213","4,779","5,551","5,967","4,949","6,931","7,500","6,798","6,233","6,527","6,625","6,714","6,600"
Gabon,3,2,3,3,8,2,1,3,4,2,0,1,1,0,0,1,1,1,2,0,2,1,1,0,0,1,1
Ghana,38,76,37,45,57,57,32,27,54,89,76,7,34,18,18,12,20,35,26,37,92,94,82,45,13,3,5
Guatemala,"3,271","3,497","4,318","3,536","3,787","4,002","4,525","4,219","4,893","5,120","4,940","3,669","4,070","3,610","3,703","3,676","3,950","4,100","3,785","3,835","3,950","3,850","3,763","3,189","3,310","3,420","3,500"
Guinea,44,91,76,64,198,104,148,172,421,364,400,236,328,366,316,525,473,323,505,499,386,386,234,101,147,177,200
Guyana,,,,,,,,,6,5,3,5,5,5,6,7,8,9,10,9,9,10,10,10,11,10,10
Haiti,393,463,500,451,450,514,428,432,439,399,420,403,374,374,365,356,362,359,359,351,350,349,350,345,343,342,350
Honduras,"1,568","2,322","1,918","1,829","2,181","1,909","2,004","2,564","2,195","2,985","2,667","3,036","2,496","2,968","2,575","3,204","3,461","3,640","3,450","3,603","4,331","5,887","4,686","4,578","5,258","5,766","5,934"
India,"2,829","3,000","2,823","3,533","3,002","3,717","3,417","3,805","4,417","4,867","5,020","5,010","4,588","4,508","4,592","4,567","4,800","4,367","4,372","4,827","5,033","5,233","5,303","5,075","5,450","5,800","5,333"
Indonesia,"7,441","8,493","5,569","6,743","5,368","4,573","8,221","7,621","7,296","6,557","6,987","6,833","6,731","6,404","7,536","9,159","7,483","7,777","9,612","11,380","9,129","10,644","11,519","11,265","11,418","12,317","10,000"
Jamaica,23,39,26,34,45,43,54,47,29,38,37,31,37,37,21,34,40,20,32,25,21,24,24,20,21,20,20
Kenya,"1,485","1,514","1,316","1,328","1,663","1,664","1,247",882,"1,173","1,502","1,002",991,945,673,736,660,826,652,541,630,641,757,875,838,765,789,783
"Lao, People's Dem. Rep. of",,,,,,,,,171,239,212,258,402,361,379,280,391,393,406,434,544,514,541,550,506,467,500
Liberia,3,3,3,5,5,5,5,5,18,12,12,12,12,5,6,5,7,7,12,13,10,10,10,6,7,8,8
Madagascar,982,933,"1,122",442,641,785,849,624,992,427,362,147,445,435,522,599,587,614,728,457,530,585,500,584,500,449,475
Malawi,105,124,137,62,84,91,49,61,64,59,63,60,42,48,21,24,17,19,21,17,17,26,23,28,24,15,20
Mexico,"4,674","4,727","3,401","5,023","4,159","5,300","5,110","4,802","4,801","6,219","4,815","4,438","4,351","4,201","3,867","4,225","4,200","4,150","4,651","4,109","4,001","4,563","4,327","3,916","3,591","2,800","3,100"
Nepal,,,,,,,,,,,,,,1,1,1,2,1,1,1,3,2,1,1,2,1,2
Nicaragua,461,707,547,706,683,985,793,"1,084","1,073","1,554","1,572","1,079","1,170","1,509","1,068","1,432","1,428","1,906","1,445","1,871","1,638","2,193","1,991","1,941","1,898","2,137","2,100"
Nigeria,29,44,49,45,52,53,46,45,53,45,49,44,50,46,45,69,51,42,50,34,42,47,41,41,43,42,42
Panama,215,193,197,142,248,209,211,217,192,166,170,160,140,172,90,176,173,176,149,138,114,106,116,113,106,108,115
Papua New Guinea,963,747,900,"1,019","1,139","1,002","1,089","1,074","1,352","1,387","1,041","1,063","1,085","1,155",998,"1,268",807,968,"1,028","1,038",867,"1,414",716,835,798,712,900
Paraguay,131,80,54,70,25,23,26,23,58,20,42,20,26,52,26,45,26,39,20,20,20,20,20,20,20,20,20
Peru,937,"1,200","1,762",665,"1,179","1,871","1,806","1,930","2,102","2,744","2,676","2,829","3,000","2,686","3,425","2,489","4,319","3,063","3,872","3,286","4,069","5,373","4,453","4,338","2,883","3,301","3,800"
Philippines,974,"1,018",920,875,877,850,890,935,677,622,341,263,255,293,355,432,441,446,587,730,189,180,177,186,193,208,200
Rwanda,535,484,639,444,22,329,293,193,223,307,273,296,320,266,450,337,351,224,369,259,323,251,259,258,238,278,240
Sierra Leone,43,54,39,37,73,44,41,50,27,59,49,79,42,36,15,60,31,40,86,91,33,78,61,32,46,51,50
Sri Lanka,96,82,53,54,42,36,37,58,46,32,33,32,34,37,32,35,33,33,31,32,37,36,35,36,35,35,35
Tanzania,932,790,786,734,679,897,764,624,739,842,809,624,824,612,763,804,822,810,"1,186",675,846,641,"1,151",811,753,930,800
Thailand,757,"1,469","1,255","1,275","1,399","1,317","1,404","1,293",916,"1,273","1,692",715,732,827,884,"1,064",822,650,675,795,828,831,608,638,497,485,435
Timor-Leste,,,,,,,,,,,7,33,37,42,17,24,46,36,48,47,60,47,61,80,117,66,80
